SPECIMEN_ID	SERIES	RACK_OR_PLATE_ID	TUBE_OR_WELL_ID	PRESERVATIVE_SOLUTION	ORGANISM_PART	DATE_OF_COLLECTION	COLLECTION_LOCATION	DECIMAL_LATITUDE	DECIMAL_LONGITUDE	HAZARD_GROUP	REGULATORY_COMPLIANCE	SCIENTIFIC_NAME	LIFESTAGE	SEX	HABITAT	TIME_OF_COLLECTION	DURATION_OF_COLLECTION	COLLECTION_METHOD	OUTDOORS_INDOORS	DESCRIPTION_OF_COLLECTION_METHOD	PRESERVATION_APPROACH	DATE_OF_PRESERVATION	ELEVATION	WHAT_3_WORDS	IDENTIFIED_HOW	OTHER_ORGANISMS	BLOOD_MEAL	GRAVIDITY	COLLECTOR_SAMPLE_ID	OTHER_INFORMATION	MISC_METADATA	DNA_EXTRACTION_DESCRIPTION	DNA_EXTRACT_VOLUME_PROVIDED	DNA_EXTRACT_CONCENTRATION	SUPPLIER_SAMPLE_NAME	run	n_mosquito_targets	n_mosquito_reads	n_multiallelic	contamination_risk	NN_assignment	res_coarse	res_int	res_fine	VAE_species	species_call	call_method	plasmodium_detected	plasmodium_species	total_reads_P1	total_reads_P2
KAJO_001_C2	11	KAJO-001	C2	100%_ETHANOL	WHOLE_ORGANISM_DAMAGED	2013-05-01	UGANDA|KIIMI	-0.087073	32.6501557	HG1	Y	Anopheles gambiae s.s	ADULT	FEMALE	INDOORS	9:00	PT3H	HAND_CAUGHT	INDOORS	INDOOR_ASPIRATOR	mosquito was placed in 1.5ml of 80% Ethanol and held until March 2022 when they were moved to plates containing 100ul of 100% ethanol”	2013-05-01			Molecular_Species_Identification		Y	NOT_COLLECTED	U.KMI.ASP.5.13.002						ANOSPP13031018	45525	60.0	20013.0	0.0	low	yes	Pyretophorus_series	Anopheles_gambiae_complex		Anopheles_gambiae	Anopheles_gambiae	VAE	no			
KAJO_001_D2	12	KAJO-001	D2	100%_ETHANOL	WHOLE_ORGANISM_DAMAGED	2013-05-01	UGANDA|KIIMI	-0.087073	32.6501557	HG1	Y	Anopheles gambiae s.s	ADULT	FEMALE	INDOORS	9:00	PT3H	HAND_CAUGHT	INDOORS	INDOOR_ASPIRATOR	mosquito was placed in 1.5ml of 80% Ethanol and held until March 2022 when they were moved to plates containing 100ul of 100% ethanol”	2013-05-01			Molecular_Species_Identification		Y	NOT_COLLECTED	U.KMI.ASP.5.13.001						ANOSPP13031019	45525	58.0	22483.0	0.0	low	yes	Pyretophorus_series	Anopheles_gambiae_complex		Anopheles_gambiae	Anopheles_gambiae	VAE	high_load	Plasmodium_falciparum, Plasmodium_reichenowi	95.0	702.0
KAJO_001_E2	13	KAJO-001	E2	100%_ETHANOL	WHOLE_ORGANISM_DAMAGED	2013-04-01	UGANDA|KIIMI	-0.087073	32.6501557	HG1	Y	Anopheles gambiae s.s	ADULT	FEMALE	INDOORS	9:00	PT3H	HAND_CAUGHT	INDOORS	INDOOR_ASPIRATOR	mosquito was placed in 1.5ml of 80% Ethanol and held until March 2022 when they were moved to plates containing 100ul of 100% ethanol”	2013-04-01			Molecular_Species_Identification		Y	NOT_COLLECTED	U.KMI.XI.4.13.004						ANOSPP13031020	45525	61.0	21344.0	0.0	low	yes	Pyretophorus_series	Anopheles_gambiae_complex		Anopheles_gambiae	Anopheles_gambiae	VAE	no			
KAJO_001_F2	14	KAJO-001	F2	100%_ETHANOL	WHOLE_ORGANISM_DAMAGED	2013-04-01	UGANDA|KIIMI	-0.087073	32.6501557	HG1	Y	Anopheles gambiae s.s	ADULT	FEMALE	INDOORS	9:00	PT3H	PYRETHROID_SPRAY_CATCH	INDOORS	COLLECTION_SHEET	mosquito was placed in 1.5ml of 80% Ethanol and held until March 2022 when they were moved to plates containing 100ul of 100% ethanol”	2013-04-01			Molecular_Species_Identification		Y	NOT_COLLECTED	U.KMI.XI.4.13.003						ANOSPP13031021	45525	59.0	16802.0	0.0	low	yes	Pyretophorus_series	Anopheles_gambiae_complex		Anopheles_gambiae	Anopheles_gambiae	VAE	no			
KAJO_001_G2	15	KAJO-001	G2	100%_ETHANOL	WHOLE_ORGANISM_DAMAGED	2013-06-01	UGANDA|BUGIRI	-0.0970391	32.6311863	HG1	Y	Anopheles gambiae s.s	ADULT	MALE	INDOORS	9:00	PT3H	HAND_CAUGHT	INDOORS	INDOOR_ASPIRATOR	mosquito was placed in 1.5ml of 80% Ethanol and held until March 2022 when they were moved to plates containing 100ul of 100% ethanol”	2013-06-01			Molecular_Species_Identification		NOT_APPLICABLE	NOT_COLLECTED	U.BGR.ASP.6-13.001						ANOSPP13031022	45525	57.0	3106.0	0.0	low	yes	Myzomyia_Neocellia_series	Anopheles_funestus	Anopheles_funestus		Anopheles_funestus	NN_FINE	no			
KAJO_001_H2	16	KAJO-001	H2	100%_ETHANOL	WHOLE_ORGANISM_DAMAGED	2013-04-01	UGANDA|KIIMI	-0.087073	32.6501557	HG1	Y	Anopheles gambiae s.s	ADULT	FEMALE	INDOORS	9:00	PT3H	PYRETHROID_SPRAY_CATCH	INDOORS	COLLECTION_SHEET	mosquito was placed in 1.5ml of 80% Ethanol and held until March 2022 when they were moved to plates containing 100ul of 100% ethanol”	2013-04-01			Molecular_Species_Identification		NOT_PROVIDED	NOT_COLLECTED	U.KMI.XI.4.13.001						ANOSPP13031023	45525	59.0	18502.0	0.0	low	yes	Pyretophorus_series	Anopheles_gambiae_complex		Anopheles_gambiae	Anopheles_gambiae	VAE	no			
KAJO_001_A3	17	KAJO-001	A3	100%_ETHANOL	WHOLE_ORGANISM_DAMAGED	2013-04-01	UGANDA|KIIMI	-0.087073	32.6501557	HG1	Y	Anopheles gambiae s.s	ADULT	FEMALE	INDOORS	9:00	PT3H	HAND_CAUGHT	INDOORS	INDOOR_ASPIRATOR	mosquito was placed in 1.5ml of 80% Ethanol and held until March 2022 when they were moved to plates containing 100ul of 100% ethanol”	2013-04-01			Molecular_Species_Identification		Y	NOT_COLLECTED	U.KMI.ASP.4.13.015						ANOSPP13031024	45525	61.0	28821.0	0.0	low	yes	Pyretophorus_series	Anopheles_gambiae_complex		Anopheles_gambiae	Anopheles_gambiae	VAE	no			
KAJO_001_B3	18	KAJO-001	B3	100%_ETHANOL	WHOLE_ORGANISM_DAMAGED	2013-04-01	UGANDA|KIIMI	-0.087073	32.6501557	HG1	Y	Anopheles gambiae s.s	ADULT	FEMALE	INDOORS	9:00	PT3H	HAND_CAUGHT	INDOORS	INDOOR_ASPIRATOR	mosquito was placed in 1.5ml of 80% Ethanol and held until March 2022 when they were moved to plates containing 100ul of 100% ethanol”	2013-04-01			Molecular_Species_Identification		Y	NOT_COLLECTED	U.KMI.ASP.4.13.014						ANOSPP13031025	45525	61.0	31819.0	0.0	low	yes	Pyretophorus_series	Anopheles_gambiae_complex		Anopheles_gambiae	Anopheles_gambiae	VAE	no			
KAJO_001_C3	19	KAJO-001	C3	100%_ETHANOL	WHOLE_ORGANISM_DAMAGED	2013-04-01	UGANDA|KIIMI	-0.087073	32.6501557	HG1	Y	Anopheles gambiae s.s	ADULT	FEMALE	INDOORS	9:00	PT3H	HAND_CAUGHT	INDOORS	INDOOR_ASPIRATOR	mosquito was placed in 1.5ml of 80% Ethanol and held until March 2022 when they were moved to plates containing 100ul of 100% ethanol”	2013-04-01			Molecular_Species_Identification		Y	NOT_COLLECTED	U.KMI.ASP.4.13.013						ANOSPP13031026	45525	60.0	29321.0	0.0	low	yes	Pyretophorus_series	Anopheles_gambiae_complex		Anopheles_gambiae	Anopheles_gambiae	VAE	no			
KAJO_001_D3	20	KAJO-001	D3	100%_ETHANOL	WHOLE_ORGANISM_DAMAGED	2013-04-01	UGANDA|KIIMI	-0.087073	32.6501557	HG1	Y	Anopheles gambiae s.s	ADULT	FEMALE	INDOORS	9:00	PT3H	HAND_CAUGHT	INDOORS	INDOOR_ASPIRATOR	mosquito was placed in 1.5ml of 80% Ethanol and held until March 2022 when they were moved to plates containing 100ul of 100% ethanol”	2013-04-01			Molecular_Species_Identification		Y	NOT_COLLECTED	U.KMI.ASP.4.13.012						ANOSPP13031027	45525	60.0	18348.0	0.0	low	yes	Pyretophorus_series	Anopheles_gambiae_complex		Anopheles_gambiae	Anopheles_gambiae	VAE	high_load	Plasmodium_falciparum	251.0	958.0
