SPECIMEN_ID	RACK_OR_PLATE_ID	TUBE_OR_WELL_ID	PRESERVATIVE_SOLUTION	ORGANISM_PART	DATE_OF_COLLECTION	COLLECTION_COUNTRY	COLLECTION_LOCATION	DECIMAL_LATITUDE	DECIMAL_LONGITUDE	SAMPLING_LOCATION_SIZE	PREDICTED_SCIENTIFIC_NAME	SPECIMEN_IDENTITY_RISK	IDENTIFIED_HOW	LIFESTAGE	SEX	TIME_OF_COLLECTION	DURATION_OF_COLLECTION	COLLECTION_METHOD	OUTDOORS_INDOORS	DESCRIPTION_OF_COLLECTION_METHOD	PRESERVATION_APPROACH	BLOOD_MEAL	GRAVIDITY	HABITAT	DATE_OF_PRESERVATION	ELEVATION	WHAT_3_WORDS	OTHER_ORGANISMS	BIOASSAYS	COLLECTOR_SAMPLE_ID	OTHER_INFORMATION	COLLECTION_EXPERIMENT	COLLECTION_EXPERIMENT_DAY	SUPPLIER_SAMPLE_NAME	run	n_mosquito_targets	n_mosquito_reads	n_multiallelic	contamination_risk	NN_assignment	res_coarse	res_int	res_fine	VAE_species	species_call	call_method	plasmodium_detected	plasmodium_species	total_reads_P1	total_reads_P2
OMOL_001_A1	GDNA00000494A	A1	NONE	WHOLE_ORGANISM	2018-08-18	Nigeria	Nigeria | Ogun | Odeda | Kugba	7.3614	3.59951		Anopheles gambiae	Y	Morphology	ADULT	FEMALE			PYRETHROID_SPRAY_CATCH	INDOORS		Silica gel	Y								KUG1036	PLATE 01, A-1, partial specimen	PRE-MDA	1.0	NG-1-1	34891	0.0	0.0	0.0		no					TOO_FEW_TARGETS	TOO_FEW_TARGETS	no			
OMOL_001_B1	GDNA00000494A	B1	NONE	WHOLE_ORGANISM	2018-08-18	Nigeria	Nigeria | Ogun | Odeda | Kugba	7.3614	3.59951		Anopheles gambiae	Y	Morphology	ADULT	FEMALE			PYRETHROID_SPRAY_CATCH	INDOORS		Silica gel	Y								KUG1048	PLATE 01, B-1, partial specimen	PRE-MDA	1.0	NG-1-2	34891	1.0	10.0	0.0		no					TOO_FEW_TARGETS	TOO_FEW_TARGETS	no			
OMOL_001_C1	GDNA00000494A	C1	NONE	WHOLE_ORGANISM	2018-08-18	Nigeria	Nigeria | Ogun | Odeda | Kugba	7.3614	3.59951		Anopheles gambiae	Y	Morphology	ADULT	FEMALE			PYRETHROID_SPRAY_CATCH	INDOORS		Silica gel	Y								KUG1060	PLATE 01, C-1, partial specimen	PRE-MDA	1.0	NG-1-3	34891	8.0	148.0	0.0		no					TOO_FEW_TARGETS	TOO_FEW_TARGETS	no			
OMOL_001_D1	GDNA00000494A	D1	NONE	WHOLE_ORGANISM	2018-08-18	Nigeria	Nigeria | Ogun | Odeda | Kugba	7.3614	3.59951		Anopheles gambiae	Y	Morphology	ADULT	FEMALE			CDC_LIGHT_TRAP	OUTDOORS		Silica gel	N								KUG1072	PLATE 01, D-1, partial specimen	PRE-MDA	1.0	NG-1-4	34891	19.0	351.0	0.0	medium	yes	Myzomyia_Neocellia_series	Anopheles_funestus	Anopheles_funestus		Anopheles_funestus	NN_FINE	no			
OMOL_001_E1	GDNA00000494A	E1	NONE	WHOLE_ORGANISM	2018-09-19	Nigeria	Nigeria | Ogun | Odeda | Gbagba	7.4453	3.63307		Anopheles gambiae	Y	Morphology	ADULT	FEMALE			PYRETHROID_SPRAY_CATCH	INDOORS		Silica gel	Y								KUG1009	PLATE 01, E-1, partial specimen	POST-MDA 1	3.0	NG-1-5	34891	0.0	0.0	0.0		no					TOO_FEW_TARGETS	TOO_FEW_TARGETS	no			
OMOL_001_F1	GDNA00000494A	F1	NONE	WHOLE_ORGANISM	2018-09-20	Nigeria	Nigeria | Ogun | Odeda | Gbagba	7.4453	3.63307		Anopheles gambiae	Y	Morphology	ADULT	FEMALE			PYRETHROID_SPRAY_CATCH	INDOORS		Silica gel	Y								KUG1021	PLATE 01, F-1, partial specimen	POST-MDA 1	4.0	NG-1-6	34891	60.0	4487.0	0.0	low	yes	Pyretophorus_series	Anopheles_gambiae_complex		Anopheles_gambiae	Anopheles_gambiae	VAE	no			
OMOL_001_G1	GDNA00000494A	G1	NONE	WHOLE_ORGANISM	2018-09-29	Nigeria	Nigeria | Ogun | Odeda | Gbagba	7.4453	3.63307		Anopheles gambiae	Y	Morphology	ADULT	FEMALE			PYRETHROID_SPRAY_CATCH	INDOORS		Silica gel	Y								KUG1033	PLATE 01, G-1, partial specimen	POST-MDA 2	5.0	NG-1-7	34891	2.0	28.0	0.0		no					TOO_FEW_TARGETS	TOO_FEW_TARGETS	no			
OMOL_001_H1	GDNA00000494A	H1	NONE	WHOLE_ORGANISM	2018-09-30	Nigeria	Nigeria | Ogun | Odeda | Gbagba	7.4453	3.63307		Anopheles gambiae	Y	Morphology	ADULT	FEMALE			PYRETHROID_SPRAY_CATCH	INDOORS		Silica gel	Y								KUG1087	PLATE 01, H-1, partial specimen	POST-MDA 2	6.0	NG-1-8	34891	0.0	0.0	0.0		no					TOO_FEW_TARGETS	TOO_FEW_TARGETS	no			
OMOL_001_A2	GDNA00000494A	A2	NONE	WHOLE_ORGANISM	2018-08-18	Nigeria	Nigeria | Ogun | Odeda | Kugba	7.3614	3.59951		Anopheles gambiae	Y	Morphology	ADULT	FEMALE			PYRETHROID_SPRAY_CATCH	INDOORS		Silica gel	Y								KUG1037	PLATE 01, A-2, partial specimen	PRE-MDA	1.0	NG-1-9	34891	0.0	0.0	0.0		no					TOO_FEW_TARGETS	TOO_FEW_TARGETS	no			
OMOL_001_B2	GDNA00000494A	B2	NONE	WHOLE_ORGANISM	2018-08-18	Nigeria	Nigeria | Ogun | Odeda | Kugba	7.3614	3.59951		Anopheles gambiae	Y	Morphology	ADULT	FEMALE			PYRETHROID_SPRAY_CATCH	INDOORS		Silica gel	Y								KUG1049	PLATE 01, B-2, partial specimen	PRE-MDA	1.0	NG-1-10	34891	59.0	3065.0	0.0	low	yes	Pyretophorus_series	Anopheles_gambiae_complex		Anopheles_coluzzii	Anopheles_coluzzii	VAE	low_load	Plasmodium_falciparum		654.0
OMOL_001_C2	GDNA00000494A	C2	NONE	WHOLE_ORGANISM	2018-08-18	Nigeria	Nigeria | Ogun | Odeda | Kugba	7.3614	3.59951		Anopheles gambiae	Y	Morphology	ADULT	FEMALE			PYRETHROID_SPRAY_CATCH	INDOORS		Silica gel	Y								KUG1061	PLATE 01, C-2, partial specimen	PRE-MDA	1.0	NG-1-11	34891	58.0	5891.0	0.0	low	yes	Pyretophorus_series	Anopheles_gambiae_complex		Anopheles_gambiae	Anopheles_gambiae	VAE	no			
OMOL_001_D2	GDNA00000494A	D2	NONE	WHOLE_ORGANISM	2018-08-18	Nigeria	Nigeria | Ogun | Odeda | Kugba	7.3614	3.59951		Anopheles gambiae	Y	Morphology	ADULT	FEMALE			PYRETHROID_SPRAY_CATCH	INDOORS		Silica gel	Y								KUG1075	PLATE 01, D-2, partial specimen	PRE-MDA	1.0	NG-1-12	34891	40.0	1038.0	0.0	low	yes	Myzomyia_Neocellia_series	Anopheles_funestus	Anopheles_funestus		Anopheles_funestus	NN_FINE	no			
OMOL_001_E2	GDNA00000494A	E2	NONE	WHOLE_ORGANISM	2018-09-19	Nigeria	Nigeria | Ogun | Odeda | Gbagba	7.4453	3.63307		Anopheles gambiae	Y	Morphology	ADULT	FEMALE			PYRETHROID_SPRAY_CATCH	INDOORS		Silica gel	Y								KUG1010	PLATE 01, E-2, partial specimen	POST-MDA 1	3.0	NG-1-13	34891	49.0	1752.0	0.0	low	yes	Myzomyia_Neocellia_series	Anopheles_funestus	Anopheles_funestus		Anopheles_funestus	NN_FINE	no			
OMOL_001_F2	GDNA00000494A	F2	NONE	WHOLE_ORGANISM	2018-09-20	Nigeria	Nigeria | Ogun | Odeda | Gbagba	7.4453	3.63307		Anopheles gambiae	Y	Morphology	ADULT	FEMALE			PYRETHROID_SPRAY_CATCH	INDOORS		Silica gel	Y								KUG1022	PLATE 01, F-2, partial specimen	POST-MDA 1	4.0	NG-1-14	34891	58.0	4893.0	0.0	low	yes	Myzomyia_Neocellia_series	Anopheles_funestus	Anopheles_funestus		Anopheles_funestus	NN_FINE	no			
OMOL_001_G2	GDNA00000494A	G2	NONE	WHOLE_ORGANISM	2018-09-29	Nigeria	Nigeria | Ogun | Odeda | Gbagba	7.4453	3.63307		Anopheles gambiae	Y	Morphology	ADULT	FEMALE			PYRETHROID_SPRAY_CATCH	INDOORS		Silica gel	Y								KUG1034	PLATE 01, G-2, partial specimen	POST-MDA 2	5.0	NG-1-15	34891	60.0	12447.0	0.0	low	yes	Pyretophorus_series	Anopheles_gambiae_complex		Anopheles_gambiae	Anopheles_gambiae	VAE	no			
OMOL_001_H2	GDNA00000494A	H2	NONE	WHOLE_ORGANISM	2018-09-30	Nigeria	Nigeria | Ogun | Odeda | Gbagba	7.4453	3.63307		Anopheles gambiae	Y	Morphology	ADULT	FEMALE			PYRETHROID_SPRAY_CATCH	INDOORS		Silica gel	Y								KUG1088	PLATE 01, H-2, partial specimen	POST-MDA 2	6.0	NG-1-16	34891	22.0	395.0	0.0	medium	yes	Pyretophorus_series	Anopheles_gambiae_complex			Anopheles_gambiae_complex	NN_INTERMEDIATE	no			
OMOL_001_A3	GDNA00000494A	A3	NONE	WHOLE_ORGANISM	2018-08-18	Nigeria	Nigeria | Ogun | Odeda | Kugba	7.3614	3.59951		Anopheles gambiae	Y	Morphology	ADULT	FEMALE			PYRETHROID_SPRAY_CATCH	INDOORS		Silica gel	Y								KUG1038	PLATE 01, A-3, partial specimen	PRE-MDA	1.0	NG-1-17	34891	50.0	1495.0	0.0	low	yes	Myzomyia_Neocellia_series	Anopheles_funestus	Anopheles_funestus		Anopheles_funestus	NN_FINE	no			
OMOL_001_B3	GDNA00000494A	B3	NONE	WHOLE_ORGANISM	2018-08-18	Nigeria	Nigeria | Ogun | Odeda | Kugba	7.3614	3.59951		Anopheles gambiae	Y	Morphology	ADULT	FEMALE			PYRETHROID_SPRAY_CATCH	INDOORS		Silica gel	Y								KUG1050	PLATE 01, B-3, partial specimen	PRE-MDA	1.0	NG-1-18	34891	60.0	7820.0	0.0	low	yes	Myzomyia_Neocellia_series	Anopheles_funestus	Anopheles_funestus		Anopheles_funestus	NN_FINE	no			
OMOL_001_C3	GDNA00000494A	C3	NONE	WHOLE_ORGANISM	2018-08-18	Nigeria	Nigeria | Ogun | Odeda | Kugba	7.3614	3.59951		Anopheles gambiae	Y	Morphology	ADULT	FEMALE			PYRETHROID_SPRAY_CATCH	INDOORS		Silica gel	Y								KUG1062	PLATE 01, C-3, partial specimen	PRE-MDA	1.0	NG-1-19	34891	61.0	16485.0	0.0	low	yes	Myzomyia_Neocellia_series	Anopheles_funestus	Anopheles_funestus		Anopheles_funestus	NN_FINE	no			
OMOL_001_D3	GDNA00000494A	D3	NONE	WHOLE_ORGANISM	2018-09-19	Nigeria	Nigeria | Ogun | Odeda | Gbagba	7.4453	3.63307		Anopheles gambiae	Y	Morphology	ADULT	FEMALE			PYRETHROID_SPRAY_CATCH	INDOORS		Silica gel	Y								KUG1076	PLATE 01, D-3, partial specimen	PRE-MDA	2.0	NG-1-20	34891	60.0	3868.0	0.0	low	yes	Myzomyia_Neocellia_series	Anopheles_funestus	Anopheles_funestus		Anopheles_funestus	NN_FINE	no			
OMOL_001_E3	GDNA00000494A	E3	NONE	WHOLE_ORGANISM	2018-09-19	Nigeria	Nigeria | Ogun | Odeda | Gbagba	7.4453	3.63307		Anopheles gambiae	Y	Morphology	ADULT	FEMALE			PYRETHROID_SPRAY_CATCH	INDOORS		Silica gel	Y								KUG1011	PLATE 01, E-3, partial specimen	POST-MDA 1	3.0	NG-1-21	34891	60.0	11169.0	0.0	low	yes	Myzomyia_Neocellia_series	Anopheles_funestus	Anopheles_funestus		Anopheles_funestus	NN_FINE	no			
OMOL_001_F3	GDNA00000494A	F3	NONE	WHOLE_ORGANISM	2018-09-20	Nigeria	Nigeria | Ogun | Odeda | Gbagba	7.4453	3.63307		Anopheles gambiae	Y	Morphology	ADULT	FEMALE			PYRETHROID_SPRAY_CATCH	INDOORS		Silica gel	Y								KUG1023	PLATE 01, F-3, partial specimen	POST-MDA 1	4.0	NG-1-22	34891	59.0	14718.0	0.0	low	yes	Myzomyia_Neocellia_series	Anopheles_funestus	Anopheles_funestus		Anopheles_funestus	NN_FINE	no			
OMOL_001_G3	GDNA00000494A	G3	NONE	WHOLE_ORGANISM	2018-09-29	Nigeria	Nigeria | Ogun | Odeda | Gbagba	7.4453	3.63307		Anopheles gambiae	Y	Morphology	ADULT	FEMALE			PYRETHROID_SPRAY_CATCH	INDOORS		Silica gel	Y								KUG1035	PLATE 01, G-3, partial specimen	POST-MDA 2	5.0	NG-1-23	34891	58.0	14973.0	0.0	low	yes	Pyretophorus_series	Anopheles_gambiae_complex		Anopheles_gambiae	Anopheles_gambiae	VAE	no			
OMOL_001_H3	GDNA00000494A	H3	NONE	WHOLE_ORGANISM	2018-09-30	Nigeria	Nigeria | Ogun | Odeda | Gbagba	7.4453	3.63307		Anopheles gambiae	Y	Morphology	ADULT	FEMALE			PYRETHROID_SPRAY_CATCH	INDOORS		Silica gel	Y								KUG1089	PLATE 01, H-3, partial specimen	POST-MDA 2	6.0	NG-1-24	34891	59.0	3608.0	0.0	low	yes	Pyretophorus_series	Anopheles_gambiae_complex		Anopheles_gambiae	Anopheles_gambiae	VAE	no			
OMOL_001_A4	GDNA00000494A	A4	NONE	WHOLE_ORGANISM	2018-08-18	Nigeria	Nigeria | Ogun | Odeda | Kugba	7.3614	3.59951		Anopheles gambiae	Y	Morphology	ADULT	FEMALE			PYRETHROID_SPRAY_CATCH	INDOORS		Silica gel	Y								KUG1039	PLATE 01, A-4, partial specimen	PRE-MDA	1.0	NG-1-25	34891	60.0	4444.0	0.0	low	yes	Pyretophorus_series	Anopheles_gambiae_complex		Anopheles_gambiae	Anopheles_gambiae	VAE	no			
OMOL_001_B4	GDNA00000494A	B4	NONE	WHOLE_ORGANISM	2018-08-18	Nigeria	Nigeria | Ogun | Odeda | Kugba	7.3614	3.59951		Anopheles gambiae	Y	Morphology	ADULT	FEMALE			PYRETHROID_SPRAY_CATCH	INDOORS		Silica gel	Y								KUG1051	PLATE 01, B-4, partial specimen	PRE-MDA	1.0	NG-1-26	34891	61.0	21080.0	0.0	low	yes	Pyretophorus_series	Anopheles_gambiae_complex		Anopheles_coluzzii	Anopheles_coluzzii	VAE	no			
OMOL_001_C4	GDNA00000494A	C4	NONE	WHOLE_ORGANISM	2018-08-18	Nigeria	Nigeria | Ogun | Odeda | Kugba	7.3614	3.59951		Anopheles gambiae	Y	Morphology	ADULT	FEMALE			PYRETHROID_SPRAY_CATCH	INDOORS		Silica gel	Y								KUG1063	PLATE 01, C-4, partial specimen	PRE-MDA	1.0	NG-1-27	34891	60.0	26630.0	0.0	low	yes	Myzomyia_Neocellia_series	Anopheles_funestus	Anopheles_funestus		Anopheles_funestus	NN_FINE	no			
OMOL_001_D4	GDNA00000494A	D4	NONE	WHOLE_ORGANISM	2018-08-18	Nigeria	Nigeria | Ogun | Odeda | Kugba	7.3614	3.59951		Anopheles gambiae	Y	Morphology	ADULT	FEMALE			PYRETHROID_SPRAY_CATCH	INDOORS		Silica gel	Y								KUG1077	PLATE 01, D-4, partial specimen	PRE-MDA	2.0	NG-1-28	34891	59.0	7511.0	0.0	low	yes	Myzomyia_Neocellia_series	Anopheles_funestus	Anopheles_funestus		Anopheles_funestus	NN_FINE	no			
OMOL_001_E4	GDNA00000494A	E4	NONE	WHOLE_ORGANISM	2018-09-19	Nigeria	Nigeria | Ogun | Odeda | Gbagba	7.4453	3.63307		Anopheles gambiae	Y	Morphology	ADULT	FEMALE			PYRETHROID_SPRAY_CATCH	INDOORS		Silica gel	Y								KUG1012	PLATE 01, E-4, partial specimen	POST-MDA 1	3.0	NG-1-29	34891	47.0	1764.0	0.0	low	yes	Myzomyia_Neocellia_series	Anopheles_funestus	Anopheles_funestus		Anopheles_funestus	NN_FINE	no			
OMOL_001_F4	GDNA00000494A	F4	NONE	WHOLE_ORGANISM	2018-09-20	Nigeria	Nigeria | Ogun | Odeda | Gbagba	7.4453	3.63307		Anopheles gambiae	Y	Morphology	ADULT	FEMALE			PYRETHROID_SPRAY_CATCH	INDOORS		Silica gel	Y								KUG1024	PLATE 01, F-4, partial specimen	POST-MDA 1	4.0	NG-1-30	34891	59.0	5138.0	0.0	low	yes	Pyretophorus_series	Anopheles_gambiae_complex		Anopheles_gambiae	Anopheles_gambiae	VAE	no			
OMOL_001_G4	GDNA00000494A	G4	NONE	WHOLE_ORGANISM	2018-09-29	Nigeria	Nigeria | Ogun | Odeda | Gbagba	7.4453	3.63307		Anopheles gambiae	Y	Morphology	ADULT	FEMALE			CDC_LIGHT_TRAP	OUTDOORS		Silica gel	N								KUG1078	PLATE 01, G-4, partial specimen	POST-MDA 2	5.0	NG-1-31	34891	58.0	2792.0	0.0	low	yes	Myzomyia_Neocellia_series	Anopheles_funestus	Anopheles_funestus		Anopheles_funestus	NN_FINE	no			
OMOL_001_H4	GDNA00000494A	H4	NONE	WHOLE_ORGANISM	2018-09-30	Nigeria	Nigeria | Ogun | Odeda | Gbagba	7.4453	3.63307		Anopheles gambiae	Y	Morphology	ADULT	FEMALE			PYRETHROID_SPRAY_CATCH	INDOORS		Silica gel	Y								KUG1090	PLATE 01, H-4, partial specimen	POST-MDA 2	6.0	NG-1-32	34891	60.0	13960.0	0.0	low	yes	Pyretophorus_series	Anopheles_gambiae_complex		Anopheles_gambiae	Anopheles_gambiae	VAE	no			
OMOL_001_A5	GDNA00000494A	A5	NONE	WHOLE_ORGANISM	2018-08-18	Nigeria	Nigeria | Ogun | Odeda | Kugba	7.3614	3.59951		Anopheles gambiae	Y	Morphology	ADULT	FEMALE			PYRETHROID_SPRAY_CATCH	INDOORS		Silica gel	Y								KUG1040	PLATE 01, A-5, partial specimen	PRE-MDA	1.0	NG-1-33	34891	22.0	462.0	0.0	medium	yes	Pyretophorus_series	Anopheles_gambiae_complex			Anopheles_gambiae_complex	NN_INTERMEDIATE	no			
OMOL_001_B5	GDNA00000494A	B5	NONE	WHOLE_ORGANISM	2018-08-18	Nigeria	Nigeria | Ogun | Odeda | Kugba	7.3614	3.59951		Anopheles gambiae	Y	Morphology	ADULT	FEMALE			PYRETHROID_SPRAY_CATCH	INDOORS		Silica gel	Y								KUG1052	PLATE 01, B-5, partial specimen	PRE-MDA	1.0	NG-1-34	34891	61.0	57968.0	1.0	medium	yes	Myzomyia_Neocellia_series	Anopheles_funestus	Anopheles_funestus		Anopheles_funestus	NN_FINE	no			
OMOL_001_C5	GDNA00000494A	C5	NONE	WHOLE_ORGANISM	2018-08-18	Nigeria	Nigeria | Ogun | Odeda | Kugba	7.3614	3.59951		Anopheles gambiae	Y	Morphology	ADULT	FEMALE			PYRETHROID_SPRAY_CATCH	INDOORS		Silica gel	Y								KUG1064	PLATE 01, C-5, partial specimen	PRE-MDA	1.0	NG-1-35	34891	61.0	18378.0	0.0	low	yes	Pyretophorus_series	Anopheles_gambiae_complex		Uncertain_coluzzii_gambiae	Uncertain_coluzzii_gambiae	VAE	no			
OMOL_001_D5	GDNA00000494A	D5	NONE	WHOLE_ORGANISM	2018-09-19	Nigeria	Nigeria | Ogun | Odeda | Gbagba	7.4453	3.63307		Anopheles gambiae	Y	Morphology	ADULT	FEMALE			PYRETHROID_SPRAY_CATCH	INDOORS		Silica gel	Y								KUG1001	PLATE 01, D-5, partial specimen	POST-MDA 1	3.0	NG-1-36	34891	56.0	2773.0	0.0	low	yes	Myzomyia_Neocellia_series	Anopheles_funestus	Anopheles_funestus		Anopheles_funestus	NN_FINE	no			
OMOL_001_E5	GDNA00000494A	E5	NONE	WHOLE_ORGANISM	2018-09-19	Nigeria	Nigeria | Ogun | Odeda | Gbagba	7.4453	3.63307		Anopheles gambiae	Y	Morphology	ADULT	FEMALE			CDC_LIGHT_TRAP	OUTDOORS		Silica gel	N								KUG1013	PLATE 01, E-5, partial specimen	POST-MDA 1	3.0	NG-1-37	34891	60.0	6740.0	0.0	low	yes	Myzomyia_Neocellia_series	Anopheles_funestus	Anopheles_funestus		Anopheles_funestus	NN_FINE	no			
OMOL_001_F5	GDNA00000494A	F5	NONE	WHOLE_ORGANISM	2018-09-20	Nigeria	Nigeria | Ogun | Odeda | Gbagba	7.4453	3.63307		Anopheles gambiae	Y	Morphology	ADULT	FEMALE			PYRETHROID_SPRAY_CATCH	INDOORS		Silica gel	Y								KUG1025	PLATE 01, F-5, partial specimen	POST-MDA 1	4.0	NG-1-38	34891	59.0	7815.0	0.0	low	yes	Myzomyia_Neocellia_series	Anopheles_funestus	Anopheles_funestus		Anopheles_funestus	NN_FINE	no			
OMOL_001_G5	GDNA00000494A	G5	NONE	WHOLE_ORGANISM	2018-09-29	Nigeria	Nigeria | Ogun | Odeda | Gbagba	7.4453	3.63307		Anopheles gambiae	Y	Morphology	ADULT	FEMALE			CDC_LIGHT_TRAP	OUTDOORS		Silica gel	N								KUG1079	PLATE 01, G-5, partial specimen	POST-MDA 2	5.0	NG-1-39	34891	58.0	3587.0	0.0	low	yes	Myzomyia_Neocellia_series	Anopheles_funestus	Anopheles_funestus		Anopheles_funestus	NN_FINE	no			
OMOL_001_H5	GDNA00000494A	H5	NONE	WHOLE_ORGANISM	2018-09-30	Nigeria	Nigeria | Ogun | Odeda | Gbagba	7.4453	3.63307		Anopheles gambiae	Y	Morphology	ADULT	FEMALE			PYRETHROID_SPRAY_CATCH	INDOORS		Silica gel	Y								KUG1091	PLATE 01, H-5, partial specimen	POST-MDA 2	6.0	NG-1-40	34891	16.0	327.0	0.0	medium	yes	Pyretophorus_series	Anopheles_gambiae_complex			Anopheles_gambiae_complex	NN_INTERMEDIATE	no			
OMOL_001_A6	GDNA00000494A	A6	NONE	WHOLE_ORGANISM	2018-08-18	Nigeria	Nigeria | Ogun | Odeda | Kugba	7.3614	3.59951		Anopheles gambiae	Y	Morphology	ADULT	FEMALE			PYRETHROID_SPRAY_CATCH	INDOORS		Silica gel	N								KUG1041	PLATE 01, A-6, partial specimen	PRE-MDA	1.0	NG-1-41	34891	3.0	42.0	0.0		no					TOO_FEW_TARGETS	TOO_FEW_TARGETS	no			
OMOL_001_B6	GDNA00000494A	B6	NONE	WHOLE_ORGANISM	2018-08-18	Nigeria	Nigeria | Ogun | Odeda | Kugba	7.3614	3.59951		Anopheles gambiae	Y	Morphology	ADULT	FEMALE			PYRETHROID_SPRAY_CATCH	INDOORS		Silica gel	Y								KUG1053	PLATE 01, B-6, partial specimen	PRE-MDA	1.0	NG-1-42	34891	57.0	15814.0	0.0	low	yes	Myzomyia_Neocellia_series	Anopheles_funestus	Anopheles_funestus		Anopheles_funestus	NN_FINE	no			
OMOL_001_C6	GDNA00000494A	C6	NONE	WHOLE_ORGANISM	2018-08-18	Nigeria	Nigeria | Ogun | Odeda | Kugba	7.3614	3.59951		Anopheles gambiae	Y	Morphology	ADULT	FEMALE			PYRETHROID_SPRAY_CATCH	INDOORS		Silica gel	Y								KUG1065	PLATE 01, C-6, partial specimen	PRE-MDA	1.0	NG-1-43	34891	59.0	8489.0	0.0	low	yes	Myzomyia_Neocellia_series	Anopheles_funestus	Anopheles_funestus		Anopheles_funestus	NN_FINE	low_load	Plasmodium_falciparum		771.0
OMOL_001_D6	GDNA00000494A	D6	NONE	WHOLE_ORGANISM	2018-09-19	Nigeria	Nigeria | Ogun | Odeda | Gbagba	7.4453	3.63307		Anopheles gambiae	Y	Morphology	ADULT	FEMALE			PYRETHROID_SPRAY_CATCH	INDOORS		Silica gel	Y								KUG1002	PLATE 01, D-6, partial specimen	POST-MDA 1	3.0	NG-1-44	34891	60.0	11164.0	0.0	low	yes	Myzomyia_Neocellia_series	Anopheles_funestus	Anopheles_funestus		Anopheles_funestus	NN_FINE	no			
OMOL_001_E6	GDNA00000494A	E6	NONE	WHOLE_ORGANISM	2018-09-19	Nigeria	Nigeria | Ogun | Odeda | Gbagba	7.4453	3.63307		Anopheles gambiae	Y	Morphology	ADULT	FEMALE			CDC_LIGHT_TRAP	OUTDOORS		Silica gel	N								KUG1014	PLATE 01, E-6, partial specimen	POST-MDA 1	3.0	NG-1-45	34891	55.0	2968.0	0.0	low	yes	Myzomyia_Neocellia_series	Anopheles_funestus	Anopheles_funestus		Anopheles_funestus	NN_FINE	no			
OMOL_001_F6	GDNA00000494A	F6	NONE	WHOLE_ORGANISM	2018-09-20	Nigeria	Nigeria | Ogun | Odeda | Gbagba	7.4453	3.63307		Anopheles gambiae	Y	Morphology	ADULT	FEMALE			CDC_LIGHT_TRAP	OUTDOORS		Silica gel	N								KUG1026	PLATE 01, F-6, partial specimen	POST-MDA 1	4.0	NG-1-46	34891	0.0	0.0	0.0		no					TOO_FEW_TARGETS	TOO_FEW_TARGETS	no			
OMOL_001_G6	GDNA00000494A	G6	NONE	WHOLE_ORGANISM	2018-09-29	Nigeria	Nigeria | Ogun | Odeda | Gbagba	7.4453	3.63307		Anopheles gambiae	Y	Morphology	ADULT	FEMALE			PYRETHROID_SPRAY_CATCH	INDOORS		Silica gel	Y								KUG1080	PLATE 01, G-6, partial specimen	POST-MDA 2	5.0	NG-1-47	34891	59.0	18850.0	0.0	low	yes	Pyretophorus_series	Anopheles_gambiae_complex		Anopheles_gambiae	Anopheles_gambiae	VAE	no			
OMOL_001_H6	GDNA00000494A	H6	NONE	WHOLE_ORGANISM	2018-09-30	Nigeria	Nigeria | Ogun | Odeda | Gbagba	7.4453	3.63307		Anopheles gambiae	Y	Morphology	ADULT	FEMALE			PYRETHROID_SPRAY_CATCH	INDOORS		Silica gel	Y								KUG1092	PLATE 01, H-6, partial specimen	POST-MDA 2	6.0	NG-1-48	34891	53.0	3046.0	0.0	low	yes	Myzomyia_Neocellia_series	Anopheles_funestus	Anopheles_funestus		Anopheles_funestus	NN_FINE	no			
OMOL_001_A7	GDNA00000494A	A7	NONE	WHOLE_ORGANISM	2018-08-18	Nigeria	Nigeria | Ogun | Odeda | Kugba	7.3614	3.59951		Anopheles gambiae	Y	Morphology	ADULT	FEMALE			PYRETHROID_SPRAY_CATCH	INDOORS		Silica gel	N								KUG1042	PLATE 01, A-7, partial specimen	PRE-MDA	1.0	NG-1-49	34891	59.0	2657.0	0.0	low	yes	Pyretophorus_series	Anopheles_gambiae_complex		Anopheles_gambiae	Anopheles_gambiae	VAE	no			
OMOL_001_B7	GDNA00000494A	B7	NONE	WHOLE_ORGANISM	2018-08-18	Nigeria	Nigeria | Ogun | Odeda | Kugba	7.3614	3.59951		Anopheles gambiae	Y	Morphology	ADULT	FEMALE			PYRETHROID_SPRAY_CATCH	INDOORS		Silica gel	Y								KUG1054	PLATE 01, B-7, partial specimen	PRE-MDA	1.0	NG-1-50	34891	61.0	27764.0	0.0	low	yes	Pyretophorus_series	Anopheles_gambiae_complex		Anopheles_coluzzii	Anopheles_coluzzii	VAE	no			
OMOL_001_C7	GDNA00000494A	C7	NONE	WHOLE_ORGANISM	2018-08-18	Nigeria	Nigeria | Ogun | Odeda | Kugba	7.3614	3.59951		Anopheles gambiae	Y	Morphology	ADULT	FEMALE			PYRETHROID_SPRAY_CATCH	INDOORS		Silica gel	Y								KUG1066	PLATE 01, C-7, partial specimen	PRE-MDA	1.0	NG-1-51	34891	59.0	33562.0	0.0	low	yes	Pyretophorus_series	Anopheles_gambiae_complex		Anopheles_gambiae	Anopheles_gambiae	VAE	no			
