SPECIMEN_ID	RACK_OR_PLATE_ID	TUBE_OR_WELL_ID	PRESERVATIVE_SOLUTION	ORGANISM_PART	DATE_OF_COLLECTION	COLLECTION_COUNTRY	COLLECTION_LOCATION	DECIMAL_LATITUDE	DECIMAL_LONGITUDE	SAMPLING_LOCATION_SIZE	PREDICTED_SCIENTIFIC_NAME	SPECIMEN_IDENTITY_RISK	IDENTIFIED_HOW	LIFESTAGE	SEX	TIME_OF_COLLECTION	DURATION_OF_COLLECTION	COLLECTION_METHOD	OUTDOORS_INDOORS	DESCRIPTION_OF_COLLECTION_METHOD	PRESERVATION_APPROACH	BLOOD_MEAL	GRAVIDITY	HABITAT	DATE_OF_PRESERVATION	ELEVATION	WHAT_3_WORDS	OTHER_ORGANISMS	BIOASSAYS	COLLECTOR_SAMPLE_ID	OTHER_INFORMATION	COLLECTION_EXPERIMENT	COLLECTION_EXPERIMENT_DAY	SUPPLIER_SAMPLE_NAME	run	n_mosquito_targets	n_mosquito_reads	n_multiallelic	contamination_risk	NN_assignment	res_coarse	res_int	res_fine	VAE_species	species_call	call_method	plasmodium_detected	plasmodium_species	total_reads_P1	total_reads_P2
OMOL_004_B2	GDNA00000497A	B2	NONE	WHOLE_ORGANISM	2018-08-14	Nigeria	Nigeria | Ogun | Odeda | Olofin	7.41953	3.64043		Anopheles gambiae	Y	Morphology	ADULT	FEMALE			PYRETHROID_SPRAY_CATCH	INDOORS		Silica gel	Y								OLF1054	PLATE 04, B-2, partial specimen	PRE-MDA	1.0	NG-4-10	34891	28.0	859.0	0.0	medium	yes	Myzomyia_Neocellia_series	Anopheles_funestus	Anopheles_funestus		Anopheles_funestus	NN_FINE	no			
OMOL_004_C2	GDNA00000497A	C2	NONE	WHOLE_ORGANISM	2018-08-14	Nigeria	Nigeria | Ogun | Odeda | Olofin	7.41953	3.64043		Anopheles gambiae	Y	Morphology	ADULT	FEMALE			PYRETHROID_SPRAY_CATCH	INDOORS		Silica gel	Y								OLF1073	PLATE 04, C-2, partial specimen	PRE-MDA	1.0	NG-4-11	34891	45.0	1904.0	1.0	medium	yes	Myzomyia_Neocellia_series				Myzomyia_Neocellia_series	NN_COARSE	no			
OMOL_004_D2	GDNA00000497A	D2	NONE	WHOLE_ORGANISM	2018-08-14	Nigeria	Nigeria | Ogun | Odeda | Olofin	7.41953	3.64043		Anopheles gambiae	Y	Morphology	ADULT	FEMALE			PYRETHROID_SPRAY_CATCH	INDOORS		Silica gel	N								OLF1104	PLATE 04, D-2, partial specimen	PRE-MDA	1.0	NG-4-12	34891	18.0	367.0	0.0	medium	yes	Pyretophorus_series	Anopheles_gambiae_complex			Anopheles_gambiae_complex	NN_INTERMEDIATE	no			
OMOL_004_E2	GDNA00000497A	E2	NONE	WHOLE_ORGANISM	2018-08-15	Nigeria	Nigeria | Ogun | Odeda | Olofin	7.41953	3.64043		Anopheles gambiae	Y	Morphology	ADULT	FEMALE			PYRETHROID_SPRAY_CATCH	INDOORS		Silica gel	Y								OLF1141	PLATE 04, E-2, partial specimen	PRE-MDA	2.0	NG-4-13	34891	5.0	73.0	0.0		no					TOO_FEW_TARGETS	TOO_FEW_TARGETS	no			
OMOL_004_F2	GDNA00000497A	F2	NONE	WHOLE_ORGANISM	2018-08-15	Nigeria	Nigeria | Ogun | Odeda | Olofin	7.41953	3.64043		Anopheles gambiae	Y	Morphology	ADULT	FEMALE			PYRETHROID_SPRAY_CATCH	INDOORS		Silica gel	Y								OLF1137	PLATE 04, F-2, partial specimen	PRE-MDA	2.0	NG-4-14	34891	60.0	33113.0	0.0	low	yes	Pyretophorus_series	Anopheles_gambiae_complex		Anopheles_coluzzii	Anopheles_coluzzii	VAE	no			
OMOL_004_G2	GDNA00000497A	G2	NONE	WHOLE_ORGANISM	2018-08-15	Nigeria	Nigeria | Ogun | Odeda | Olofin	7.41953	3.64043		Anopheles gambiae	Y	Morphology	ADULT	FEMALE			PYRETHROID_SPRAY_CATCH	INDOORS		Silica gel	N								OLF1259	PLATE 04, G-2, partial specimen	PRE-MDA	2.0	NG-4-15	34891	59.0	7850.0	0.0	low	yes	Pyretophorus_series	Anopheles_gambiae_complex		Anopheles_gambiae	Anopheles_gambiae	VAE	no			
OMOL_004_H2	GDNA00000497A	H2	NONE	WHOLE_ORGANISM	2018-08-15	Nigeria	Nigeria | Ogun | Odeda | Olofin	7.41953	3.64043		Anopheles gambiae	Y	Morphology	ADULT	FEMALE			PYRETHROID_SPRAY_CATCH	INDOORS		Silica gel	Y								OLF1288	PLATE 04, H-2, partial specimen	PRE-MDA	2.0	NG-4-16	34891	59.0	3292.0	0.0	low	yes	Myzomyia_Neocellia_series	Anopheles_funestus	Anopheles_funestus		Anopheles_funestus	NN_FINE	no			
OMOL_004_A3	GDNA00000497A	A3	NONE	WHOLE_ORGANISM	2018-08-14	Nigeria	Nigeria | Ogun | Odeda | Olofin	7.41953	3.64043		Anopheles gambiae	Y	Morphology	ADULT	FEMALE			PYRETHROID_SPRAY_CATCH	INDOORS		Silica gel	Y								OLF1004	PLATE 04, A-3, partial specimen	PRE-MDA	1.0	NG-4-17	34891	1.0	12.0	0.0		no					TOO_FEW_TARGETS	TOO_FEW_TARGETS	no			
OMOL_004_B3	GDNA00000497A	B3	NONE	WHOLE_ORGANISM	2018-08-14	Nigeria	Nigeria | Ogun | Odeda | Olofin	7.41953	3.64043		Anopheles gambiae	Y	Morphology	ADULT	FEMALE			PYRETHROID_SPRAY_CATCH	INDOORS		Silica gel	Y								OLF1055	PLATE 04, B-3, partial specimen	PRE-MDA	1.0	NG-4-18	34891	58.0	6686.0	1.0	medium	yes	Myzomyia_Neocellia_series	Anopheles_funestus	Anopheles_funestus		Anopheles_funestus	NN_FINE	no			
OMOL_004_C3	GDNA00000497A	C3	NONE	WHOLE_ORGANISM	2018-08-14	Nigeria	Nigeria | Ogun | Odeda | Olofin	7.41953	3.64043		Anopheles gambiae	Y	Morphology	ADULT	FEMALE			PYRETHROID_SPRAY_CATCH	INDOORS		Silica gel	Y								OLF1074	PLATE 04, C-3, partial specimen	PRE-MDA	1.0	NG-4-19	34891	59.0	5549.0	0.0	low	yes	Myzomyia_Neocellia_series	Anopheles_funestus	Anopheles_funestus		Anopheles_funestus	NN_FINE	no			
OMOL_004_D3	GDNA00000497A	D3	NONE	WHOLE_ORGANISM	2018-08-14	Nigeria	Nigeria | Ogun | Odeda | Olofin	7.41953	3.64043		Anopheles gambiae	Y	Morphology	ADULT	FEMALE			PYRETHROID_SPRAY_CATCH	INDOORS		Silica gel	Y								OLF1105	PLATE 04, D-3, partial specimen	PRE-MDA	1.0	NG-4-20	34891	54.0	2674.0	0.0	low	yes	Pyretophorus_series	Anopheles_gambiae_complex		Anopheles_gambiae	Anopheles_gambiae	VAE	low_load	Plasmodium_falciparum		79.0
OMOL_004_E3	GDNA00000497A	E3	NONE	WHOLE_ORGANISM	2018-08-15	Nigeria	Nigeria | Ogun | Odeda | Olofin	7.41953	3.64043		Anopheles gambiae	Y	Morphology	ADULT	FEMALE			PYRETHROID_SPRAY_CATCH	INDOORS		Silica gel	Y								OLF1142	PLATE 04, E-3, partial specimen	PRE-MDA	2.0	NG-4-21	34891	61.0	35429.0	0.0	low	yes	Pyretophorus_series	Anopheles_gambiae_complex		Anopheles_gambiae	Anopheles_gambiae	VAE	no			
OMOL_004_F3	GDNA00000497A	F3	NONE	WHOLE_ORGANISM	2018-08-15	Nigeria	Nigeria | Ogun | Odeda | Olofin	7.41953	3.64043		Anopheles gambiae	Y	Morphology	ADULT	FEMALE			PYRETHROID_SPRAY_CATCH	INDOORS		Silica gel	Y								OLF1138	PLATE 04, F-3, partial specimen	PRE-MDA	2.0	NG-4-22	34891	60.0	20551.0	0.0	low	yes	Myzomyia_Neocellia_series	Anopheles_funestus	Anopheles_funestus		Anopheles_funestus	NN_FINE	no			
OMOL_004_G3	GDNA00000497A	G3	NONE	WHOLE_ORGANISM	2018-08-15	Nigeria	Nigeria | Ogun | Odeda | Olofin	7.41953	3.64043		Anopheles gambiae	Y	Morphology	ADULT	FEMALE			PYRETHROID_SPRAY_CATCH	INDOORS		Silica gel	Y								OLF1260	PLATE 04, G-3, partial specimen	PRE-MDA	2.0	NG-4-23	34891	60.0	11216.0	0.0	low	yes	Myzomyia_Neocellia_series	Anopheles_funestus	Anopheles_funestus		Anopheles_funestus	NN_FINE	low_load	Plasmodium_falciparum		391.0
OMOL_004_H3	GDNA00000497A	H3	NONE	WHOLE_ORGANISM	2018-08-15	Nigeria	Nigeria | Ogun | Odeda | Olofin	7.41953	3.64043		Anopheles gambiae	Y	Morphology	ADULT	FEMALE			PYRETHROID_SPRAY_CATCH	INDOORS		Silica gel	Y								OLF1289	PLATE 04, H-3, partial specimen	PRE-MDA	2.0	NG-4-24	34891	5.0	67.0	0.0		no					TOO_FEW_TARGETS	TOO_FEW_TARGETS	no			
OMOL_004_A4	GDNA00000497A	A4	NONE	WHOLE_ORGANISM	2018-08-14	Nigeria	Nigeria | Ogun | Odeda | Olofin	7.41953	3.64043		Anopheles gambiae	Y	Morphology	ADULT	FEMALE			PYRETHROID_SPRAY_CATCH	INDOORS		Silica gel	Y								OLF1021	PLATE 04, A-4, partial specimen	PRE-MDA	1.0	NG-4-25	34891	20.0	475.0	0.0	medium	yes	Myzomyia_Neocellia_series	Anopheles_funestus	Anopheles_funestus		Anopheles_funestus	NN_FINE	no			
OMOL_004_B4	GDNA00000497A	B4	NONE	WHOLE_ORGANISM	2018-08-14	Nigeria	Nigeria | Ogun | Odeda | Olofin	7.41953	3.64043		Anopheles gambiae	Y	Morphology	ADULT	FEMALE			PYRETHROID_SPRAY_CATCH	INDOORS		Silica gel	Y								OLF1058	PLATE 04, B-4, partial specimen	PRE-MDA	1.0	NG-4-26	34891	13.0	310.0	0.0	medium	yes	Pyretophorus_series	Anopheles_gambiae_complex			Anopheles_gambiae_complex	NN_INTERMEDIATE	no			
OMOL_004_C4	GDNA00000497A	C4	NONE	WHOLE_ORGANISM	2018-08-14	Nigeria	Nigeria | Ogun | Odeda | Olofin	7.41953	3.64043		Anopheles gambiae	Y	Morphology	ADULT	FEMALE			PYRETHROID_SPRAY_CATCH	INDOORS		Silica gel	Y								OLF1079	PLATE 04, C-4, partial specimen	PRE-MDA	1.0	NG-4-27	34891	40.0	1832.0	0.0	low	yes	Myzomyia_Neocellia_series	Anopheles_funestus	Anopheles_funestus		Anopheles_funestus	NN_FINE	no			
OMOL_004_D4	GDNA00000497A	D4	NONE	WHOLE_ORGANISM	2018-08-14	Nigeria	Nigeria | Ogun | Odeda | Olofin	7.41953	3.64043		Anopheles gambiae	Y	Morphology	ADULT	FEMALE			PYRETHROID_SPRAY_CATCH	INDOORS		Silica gel	N								OLF1107	PLATE 04, D-4, partial specimen	PRE-MDA	1.0	NG-4-28	34891	2.0	53.0	0.0		no					TOO_FEW_TARGETS	TOO_FEW_TARGETS	no			
OMOL_004_E4	GDNA00000497A	E4	NONE	WHOLE_ORGANISM	2018-08-15	Nigeria	Nigeria | Ogun | Odeda | Olofin	7.41953	3.64043		Anopheles gambiae	Y	Morphology	ADULT	FEMALE			PYRETHROID_SPRAY_CATCH	INDOORS		Silica gel	Y								OLF1150	PLATE 04, E-4, partial specimen	PRE-MDA	2.0	NG-4-29	34891	60.0	19559.0	0.0	low	yes	Myzomyia_Neocellia_series	Anopheles_funestus	Anopheles_funestus		Anopheles_funestus	NN_FINE	no			
OMOL_004_F4	GDNA00000497A	F4	NONE	WHOLE_ORGANISM	2018-08-15	Nigeria	Nigeria | Ogun | Odeda | Olofin	7.41953	3.64043		Anopheles gambiae	Y	Morphology	ADULT	FEMALE			PYRETHROID_SPRAY_CATCH	INDOORS		Silica gel	Y								OLF1240	PLATE 04, F-4, partial specimen	PRE-MDA	2.0	NG-4-30	34891	46.0	2611.0	0.0	low	yes	Myzomyia_Neocellia_series	Anopheles_funestus	Anopheles_funestus		Anopheles_funestus	NN_FINE	no			
OMOL_004_G4	GDNA00000497A	G4	NONE	WHOLE_ORGANISM	2018-08-15	Nigeria	Nigeria | Ogun | Odeda | Olofin	7.41953	3.64043		Anopheles gambiae	Y	Morphology	ADULT	FEMALE			PYRETHROID_SPRAY_CATCH	INDOORS		Silica gel	Y								OLF1277	PLATE 04, G-4, partial specimen	PRE-MDA	2.0	NG-4-31	34891	60.0	14517.0	0.0	low	yes	Myzomyia_Neocellia_series	Anopheles_funestus	Anopheles_funestus		Anopheles_funestus	NN_FINE	no			
OMOL_004_H4	GDNA00000497A	H4	NONE	WHOLE_ORGANISM	2018-08-15	Nigeria	Nigeria | Ogun | Odeda | Olofin	7.41953	3.64043		Anopheles gambiae	Y	Morphology	ADULT	FEMALE			PYRETHROID_SPRAY_CATCH	INDOORS		Silica gel	Y								OLF1293	PLATE 04, H-4, partial specimen	PRE-MDA	2.0	NG-4-32	34891	38.0	1375.0	0.0	low	yes	Myzomyia_Neocellia_series	Anopheles_funestus	Anopheles_funestus		Anopheles_funestus	NN_FINE	no			
OMOL_004_A5	GDNA00000497A	A5	NONE	WHOLE_ORGANISM	2018-08-14	Nigeria	Nigeria | Ogun | Odeda | Olofin	7.41953	3.64043		Anopheles gambiae	Y	Morphology	ADULT	FEMALE			PYRETHROID_SPRAY_CATCH	INDOORS		Silica gel	Y								OLF1022	PLATE 04, A-5, partial specimen	PRE-MDA	1.0	NG-4-33	34891	10.0	185.0	0.0	medium	yes	Myzomyia_Neocellia_series	Anopheles_funestus	Anopheles_funestus		Anopheles_funestus	NN_FINE	no			
OMOL_004_B5	GDNA00000497A	B5	NONE	WHOLE_ORGANISM	2018-08-14	Nigeria	Nigeria | Ogun | Odeda | Olofin	7.41953	3.64043		Anopheles gambiae	Y	Morphology	ADULT	FEMALE			PYRETHROID_SPRAY_CATCH	INDOORS		Silica gel	Y								OLF1059	PLATE 04, B-5, partial specimen	PRE-MDA	1.0	NG-4-34	34891	54.0	4459.0	1.0	medium	yes	Myzomyia_Neocellia_series	Anopheles_funestus	Anopheles_funestus		Anopheles_funestus	NN_FINE	no			
OMOL_004_C5	GDNA00000497A	C5	NONE	WHOLE_ORGANISM	2018-08-14	Nigeria	Nigeria | Ogun | Odeda | Olofin	7.41953	3.64043		Anopheles gambiae	Y	Morphology	ADULT	FEMALE			PYRETHROID_SPRAY_CATCH	INDOORS		Silica gel	Y								OLF1080	PLATE 04, C-5, partial specimen	PRE-MDA	1.0	NG-4-35	34891	46.0	2029.0	0.0	low	yes	Myzomyia_Neocellia_series	Anopheles_funestus	Anopheles_funestus		Anopheles_funestus	NN_FINE	no			
OMOL_004_D5	GDNA00000497A	D5	NONE	WHOLE_ORGANISM	2018-08-14	Nigeria	Nigeria | Ogun | Odeda | Olofin	7.41953	3.64043		Anopheles gambiae	Y	Morphology	ADULT	FEMALE			PYRETHROID_SPRAY_CATCH	INDOORS		Silica gel	Y								OLF1108	PLATE 04, D-5, partial specimen	PRE-MDA	1.0	NG-4-36	34891	22.0	528.0	0.0	medium	yes	Myzomyia_Neocellia_series	Anopheles_funestus	Anopheles_funestus		Anopheles_funestus	NN_FINE	no			
OMOL_004_E5	GDNA00000497A	E5	NONE	WHOLE_ORGANISM	2018-08-15	Nigeria	Nigeria | Ogun | Odeda | Olofin	7.41953	3.64043		Anopheles gambiae	Y	Morphology	ADULT	FEMALE			PYRETHROID_SPRAY_CATCH	INDOORS		Silica gel	Y								OLF1151	PLATE 04, E-5, partial specimen	PRE-MDA	2.0	NG-4-37	34891	30.0	1006.0	0.0	low	yes	Pyretophorus_series	Anopheles_gambiae_complex			Anopheles_gambiae_complex	NN_INTERMEDIATE	no			
OMOL_004_F5	GDNA00000497A	F5	NONE	WHOLE_ORGANISM	2018-08-15	Nigeria	Nigeria | Ogun | Odeda | Olofin	7.41953	3.64043		Anopheles gambiae	Y	Morphology	ADULT	FEMALE			PYRETHROID_SPRAY_CATCH	INDOORS		Silica gel	Y								OLF1241	PLATE 04, F-5, partial specimen	PRE-MDA	2.0	NG-4-38	34891	60.0	10589.0	0.0	low	yes	Myzomyia_Neocellia_series	Anopheles_funestus	Anopheles_funestus		Anopheles_funestus	NN_FINE	no			
